Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
500,503844.137,0,0,0,0,0,0
506,410661.746,0,0,0,0,0,0
512,595361.301,0,0,0,0,0,0
520,569118.352,0,0,0,0,0,0
530,539744.977,0,0,0,0,0,0
540,447761.508,0,0,0,0,0,0
550,425315.145,0,0,0,0,0,0
560,576045.491,0,0,0,0,0,0
570,653175.618,0,0,0,0,0,0
580,654574.382,0,0,0,0,0,0
590,673257.554,0,0,0,0,0,0
600,592031.015,0,0,0,0,0,0
610,548237.264,0.001,0,0,0,0,0
620,705628.241,0.001,0,0,0,0,0
630,667629.313,0.001,0,0,0,0,0
640,754850.353,0.001,0,0,0,0,0
650,728407.557,0.002,0,0,0,0,0
658,680817.376,0.002,0,0,0,0,0
665,770169.824,0.003,0,0,0,0,0
675,805071.59,0.003,0,0,0,0,0
685,729140.297,0.004,0,0,0,0,0
695,809600.777,0.006,0,0,0,0,0
705,696369.905,0.007,0,0,0,0,0
716,834944.598,0.009,0,0,0,0,0
726,857823.881,0.011,0,0,0,0,0
735,865650.025,0.013,0,0,0,0,0
745,843436.853,0.017,0,0,0,0,0
755,841138.907,0.021,0,0,0,0,0
765,756249.1,0.025,0,0,0,0,0
775,844402.745,0.031,0,0,0,0,0
785,750421.039,0.038,0,0,0,0,0
795,826119.296,0.045,0,0,0,0,0
805,869746.479,0.054,0,0,0,0,0
815,881269.326,0.064,0,0,0,0,0
825,888496.067,0.077,0,0,0,0,0
835,765873.759,0.089,0,0,0,0,0
845,889761.541,0.106,0,0,0,0,0
855,872776.959,0.125,0,0,0,0,0
865,905214.308,0.147,0,0,0,0,0
875,910576.145,0.171,0,0,0,0,0
885,904748.082,0.202,0,0,0,0,0
895,907945.168,0.233,0,0,0,0,0
905,899352.839,0.262,0,0,0,0,0
915,769037.47,1.411,0,0,0,0,0
925,1102602.333,6.363,0,0,0,0,0
935,1482192.369,11.943,0,0,0,0,0
945,1763138.082,52.541,0,0,0,0,0
